# 2017/03/04 - 16:39
PDB,CHAIN,ACCESSION,EC_NUMBER
5k85,C, ,6.2.1.1
5k8b,A,Q8EEB1,2.6.1.109
5k8b,B,Q8EEB1,2.6.1.109
5k8b,C,Q8EEB1,2.6.1.109
5k8b,D,Q8EEB1,2.6.1.109
5k8c,A,Q8EEB0,1.1.3.48
5k8e,A, ,1.1.3.-
5k8f,A, ,6.2.1.1
5k8f,B, ,6.2.1.1
5k8f,C, ,6.2.1.1
5k8j,B, ,3.1.-.-
5k8j,C, ,3.1.-.-
5k8k,A,P44046,3.6.1.54
5k8m,A,D3WZ85,3.5.99.8
5k8m,B,D3WZ85,3.5.99.8
5k8m,C,D3WZ85,3.5.99.8
5k8m,D,D3WZ85,3.5.99.8
5k8n,A,D3WZ85,3.5.99.8
5k8n,B,D3WZ85,3.5.99.8
5k8n,C,D3WZ85,3.5.99.8
5k8n,D,D3WZ85,3.5.99.8
5k8n,E,D3WZ85,3.5.99.8
5k8n,F,D3WZ85,3.5.99.8
5k8n,G,D3WZ85,3.5.99.8
5k8n,H,D3WZ85,3.5.99.8
5k8o,A,D3WZ85,3.5.99.8
5k8o,B,D3WZ85,3.5.99.8
5k8o,C,D3WZ85,3.5.99.8
5k8o,D,D3WZ85,3.5.99.8
5k8o,E,D3WZ85,3.5.99.8
5k8o,F,D3WZ85,3.5.99.8
5k8o,G,D3WZ85,3.5.99.8
5k8o,H,D3WZ85,3.5.99.8
5k8p,A,D3WZ85,3.5.99.8
5k8p,B,D3WZ85,3.5.99.8
5k8p,C,D3WZ85,3.5.99.8
5k8p,D,D3WZ85,3.5.99.8
5k8p,E,D3WZ85,3.5.99.8
5k8p,F,D3WZ85,3.5.99.8
5k8p,G,D3WZ85,3.5.99.8
5k8p,H,D3WZ85,3.5.99.8
5k8v,A,Q9WVG6,2.1.1.319
5k8v,B,Q9WVG6,2.1.1.319
5k8v,C,Q9WVG6,2.1.1.319
5k8v,D,Q9WVG6,2.1.1.319
5k95,A,Q5F9K6,3.5.4.16
5k95,B,Q5F9K6,3.5.4.16
5k98,A,P23874,2.7.11.1
5k98,D,P23874,2.7.11.1
5k9c,A,Q02127,1.3.5.2
5k9d,A,Q02127,1.3.5.2
5k9g,A,Q5F9K6,3.5.4.16
5k9g,B,Q5F9K6,3.5.4.16
5k9i,A,P00523,2.7.10.2
5k9i,B,P00523,2.7.10.2
5k9r,A,Q9Y233,3.1.4.17
5k9r,A,Q9Y233,3.1.4.35
5k9r,B,Q9Y233,3.1.4.17
5k9r,B,Q9Y233,3.1.4.35
5k9v,A,P18031,3.1.3.48
5k9w,A,P18031,3.1.3.48
5k9x,A,Q5ZVY3,4.2.1.20
5ka0,A,P18031,3.1.3.48
5ka1,A,P18031,3.1.3.48
5ka2,A,P18031,3.1.3.48
5ka3,A,P18031,3.1.3.48
5ka4,A,P18031,3.1.3.48
5ka7,A,P18031,3.1.3.48
5ka8,A,P18031,3.1.3.48
5ka9,A,P18031,3.1.3.48
5kaa,A,P18031,3.1.3.48
5kab,A,P18031,3.1.3.48
5kac,A,P18031,3.1.3.48
5kad,A,P18031,3.1.3.48
5kad,B,P18031,3.1.3.48
5kaf,A,P0A444,1.10.3.9
5kaf,D,Q8CM25,1.10.3.9
5kaf,a,P0A444,1.10.3.9
5kaf,d,Q8CM25,1.10.3.9
5kai,A,P0A444,1.10.3.9
5kai,D,Q8CM25,1.10.3.9
5kai,a,P0A444,1.10.3.9
5kai,d,Q8CM25,1.10.3.9
5kam,A,Q07010,2.4.2.8
5kam,C,Q07010,2.4.2.8
5kao,A,P04585,2.7.7.49
5kao,A,P04585,2.7.7.7
5kao,A,P04585,3.1.13.2
5kao,A,P04585,3.1.26.13
5kao,A,P04585,3.4.23.16
5kao,B,P04585,2.7.7.49
5kao,B,P04585,2.7.7.7
5kao,B,P04585,3.1.13.2
5kao,B,P04585,3.1.26.13
5kao,B,P04585,3.4.23.16
5kap,A,Q07010,2.4.2.8
5kap,B,Q07010,2.4.2.8
5kar,A, ,3.1.4.-
5kas,A, ,3.1.4.-
5kb3,A,Q9ZMY2,3.2.2.30
5kb3,A,Q9ZMY2,3.2.2.9
5kbf,A, ,2.7.11.11
5kbf,B, ,2.7.11.11
5kbk,A,Q5AD07,1.15.1.1
5kbl,A,Q5AD07,1.15.1.1
5kbm,A,Q5AD07,1.15.1.1
5kbq,A,Q13153,2.7.11.1
5kbq,B,Q13153,2.7.11.1
5kbr,A,Q13153,2.7.11.1
5kbr,B,Q13153,2.7.11.1
5kby,A,P27487,3.4.14.5
5kby,B,P27487,3.4.14.5
5kby,C,P27487,3.4.14.5
5kby,D,P27487,3.4.14.5
5kc2,B,P22219,2.7.11.1
5kc2,C,P22543,2.7.1.137
5kch,A,Q15047,2.1.1.43
5kck,A, ,4.1.3.27
5kcm,A,A9CH39,4.1.99.13
5kcm,B,A9CH39,4.1.99.13
5kco,A,Q15047,2.1.1.43
5kcp,A,P00327,1.1.1.1
5kcp,B,P00327,1.1.1.1
5kcv,A,P31749,2.7.11.1
5kcz,A,P00327,1.1.1.1
5kcz,B,P00327,1.1.1.1
5kde,A,P9WI55,3.6.1.1
5kdf,A,P9WI55,3.6.1.1
5kdg,A, ,3.4.22.2
5kdp,A,Q30W70,4.3.99.4
5kdp,C,Q30W70,4.3.99.4
5kdr,A,Q2FG38,6.4.1.2
5kdr,B,Q2YTE0,6.4.1.2
5ke0,A,P63086,2.7.11.24
5ke2,A,Q15047,2.1.1.43
5ke3,A,Q15047,2.1.1.43
5kee,A,P00644,3.1.31.1
5kei,A, ,6.3.2.-
5kej,A, ,2.5.1.18
5kej,B, ,2.5.1.18
5kfa,A,Q9Y253,2.7.7.7
5kfb,A,Q9Y253,2.7.7.7
5kfc,A,Q9Y253,2.7.7.7
5kfd,A,Q9Y253,2.7.7.7
5kfe,A,Q9Y253,2.7.7.7
5kff,A,Q9Y253,2.7.7.7
5kfg,A,Q9Y253,2.7.7.7
5kfh,A,Q9Y253,2.7.7.7
5kfi,A,Q9Y253,2.7.7.7
5kfj,A,Q9Y253,2.7.7.7
5kfk,A,Q9Y253,2.7.7.7
5kfl,A,Q9Y253,2.7.7.7
5kfm,A,Q9Y253,2.7.7.7
5kfn,A,Q9Y253,2.7.7.7
5kfo,A,Q9Y253,2.7.7.7
5kfp,A,Q9Y253,2.7.7.7
5kfq,A,Q9Y253,2.7.7.7
5kfr,A,Q9Y253,2.7.7.7
5kfs,A,Q9Y253,2.7.7.7
5kft,A,Q9Y253,2.7.7.7
5kfu,A,Q9Y253,2.7.7.7
5kfv,A,Q9Y253,2.7.7.7
5kfw,A,Q9Y253,2.7.7.7
5kfx,A,Q9Y253,2.7.7.7
5kfy,A,Q9Y253,2.7.7.7
5kfz,A,Q9Y253,2.7.7.7
5kg0,A,Q9Y253,2.7.7.7
5kg1,A,Q9Y253,2.7.7.7
5kg2,A,Q9Y253,2.7.7.7
5kg3,A,Q9Y253,2.7.7.7
5kg4,A,Q9Y253,2.7.7.7
5kg5,A,Q9Y253,2.7.7.7
5kg6,A,Q9Y253,2.7.7.7
5kg7,A,Q9Y253,2.7.7.7
5kgr,A,P00720,3.2.1.17
5kgu,A,P00644,3.1.31.1
5kh2,A, ,2.5.1.-
5kh2,B, ,2.5.1.-
5kh2,C, ,2.5.1.-
5kh2,D, ,2.5.1.-
5kh3,A,Q9UBN7,3.5.1.98
5kh4,A, ,2.5.1.-
5kh4,B, ,2.5.1.-
5kh5,A, ,2.5.1.-
5kh5,B, ,2.5.1.-
5kh6,A,Q15047,2.1.1.43
5kh7,A,Q9UBN7,3.5.1.98
5kh9,A,Q9UBN7,3.5.1.98
5kha,A, ,6.3.1.5
5kha,A, ,6.3.5.1
5kha,B, ,6.3.1.5
5kha,B, ,6.3.5.1
5khr,Q,O00762,2.3.2.23
5khr,Q,O00762,2.3.2.24
5khr,S,P34244,2.7.11.1
5khw,A,P23458,2.7.10.2
5khw,B,P23458,2.7.10.2
5khx,A,P23458,2.7.10.2
5ki6,A,Q9UKV8,3.1.26.n2
5kia,A,Q2T9E1,1.1.1.103
5kin,A,Q97P33,4.2.1.20
5kin,B,Q97P32,4.2.1.20
5kin,C,Q97P33,4.2.1.20
5kin,D,Q97P32,4.2.1.20
5kir,A,P35354,1.14.99.1
5kir,B,P35354,1.14.99.1
5kit,A,P43490,2.4.2.12
5kit,B,P43490,2.4.2.12
5kiv,A, ,3.2.1.-
5kix,A,P00644,3.1.31.1
5kj1,A,P00327,1.1.1.1
5kj1,B,P00327,1.1.1.1
5kj6,A,P00327,1.1.1.1
5kj6,B,P00327,1.1.1.1
5kj9,A,P00698,3.2.1.17
5kja,A,P74334,1.13.11.75
5kja,B,P74334,1.13.11.75
5kja,C,P74334,1.13.11.75
5kja,D,P74334,1.13.11.75
5kja,E,P74334,1.13.11.75
5kjb,A,P74334,1.13.11.75
5kjb,B,P74334,1.13.11.75
5kjb,C,P74334,1.13.11.75
5kjb,D,P74334,1.13.11.75
5kjb,E,P74334,1.13.11.75
5kjc,A,P00327,1.1.1.1
5kjc,B,P00327,1.1.1.1
5kjd,A,P74334,1.13.11.75
5kjd,B,P74334,1.13.11.75
5kjd,C,P74334,1.13.11.75
5kjd,D,P74334,1.13.11.75
5kjd,E,P74334,1.13.11.75
5kje,A,P00327,1.1.1.1
5kje,B,P00327,1.1.1.1
5kjf,A,P00327,1.1.1.1
5kjf,B,P00327,1.1.1.1
5kjk,A,Q9NRG4,2.1.1.43
5kjl,A,Q9NRG4,2.1.1.43
5kjm,A,Q9NRG4,2.1.1.43
5kjn,A,Q9NRG4,2.1.1.43
5kjp,A, ,4.2.1.17
5kjs,A,Q9FI78,2.3.1.133
5kjt,A,Q9FI78,2.3.1.133
5kju,A,Q9FI78,2.3.1.133
5kjv,A, ,2.3.1.133
5kjv,B, ,2.3.1.133
5kjw,A, ,2.3.1.133
5kjw,B, ,2.3.1.133
5kk0,A,P74334,1.13.11.75
5kk0,B,P74334,1.13.11.75
5kk0,C,P74334,1.13.11.75
5kk0,D,P74334,1.13.11.75
5kk5,A, ,3.1.-.-
5kka,A,P61889,1.1.1.37
5kka,B,P61889,1.1.1.37
5kkb,A,P45700,3.2.1.113
5kkb,B,P45700,3.2.1.113
5kkc,A,P13491,1.1.1.27
5kkc,B,P13491,1.1.1.27
5kkc,C,P13491,1.1.1.27
5kkc,D,P13491,1.1.1.27
5kki,A,P00698,3.2.1.17
5kkj,A,P00698,3.2.1.17
5kkn,B,O00763,6.3.4.14
5kkn,B,O00763,6.4.1.2
5kkn,C,O00763,6.3.4.14
5kkn,C,O00763,6.4.1.2
5kkp,A, ,5.4.99.-
5kkr,B,Q6VAB6,2.7.11.1
5kkr,C,P29678,2.7.12.2
5kkz,C,Q02762,1.10.2.2
5kkz,G,Q02762,1.10.2.2
5kkz,M,Q02762,1.10.2.2
5kkz,Q,Q02762,1.10.2.2
5kl9,A, ,3.1.2.-
5kl9,B, ,3.1.2.-
5kl9,C, ,3.1.2.-
5kl9,D, ,3.1.2.-
5kli,C,Q02762,1.10.2.2
5kli,G,Q02762,1.10.2.2
5kli,M,Q02762,1.10.2.2
5kli,Q,Q02762,1.10.2.2
5klv,E,P13272,1.10.2.2
5klv,I,P13272,1.10.2.2
5kmi,A,P04629,2.7.10.1
5kmj,A,P04629,2.7.10.1
5kmk,A,P04629,2.7.10.1
5kml,A,P04629,2.7.10.1
5kmm,A,P04629,2.7.10.1
5kmn,A,P04629,2.7.10.1
5kmo,A,P04629,2.7.10.1
5kmw,A,Q47066,3.5.2.6
5kmy,A,Q5X5Q1,4.2.1.20
5kn4,A,C3SBW0,2.1.1.300
5kn4,B,C3SBW0,2.1.1.300
5kn8,A, ,3.2.2.-
5kn9,A, ,3.2.2.-
5knb,A,Q08636,3.6.3.15
5knb,B,Q08636,3.6.3.15
5knb,C,Q08636,3.6.3.15
5knc,A,Q08636,3.6.3.15
5knc,B,Q08636,3.6.3.15
5knc,C,Q08636,3.6.3.15
5knd,A,Q08636,3.6.3.15
5knd,B,Q08636,3.6.3.15
5knd,C,Q08636,3.6.3.15
5kni,A,O95271,2.4.2.30
5kni,B,O95271,2.4.2.30
5kni,C,O95271,2.4.2.30
5kni,D,O95271,2.4.2.30
5kni,E,O95271,2.4.2.30
5kni,F,O95271,2.4.2.30
5kni,G,O95271,2.4.2.30
5knl,A,O94609,6.2.1.45
5knl,C,Q9Y818,2.3.2.23
5knl,D,O94609,6.2.1.45
5knl,F,Q9Y818,2.3.2.23
5knn,A,P49588,6.1.1.7
5knn,B,P49588,6.1.1.7
5knn,C,P49588,6.1.1.7
5knn,D,P49588,6.1.1.7
5knn,E,P49588,6.1.1.7
5knn,F,P49588,6.1.1.7
5knn,G,P49588,6.1.1.7
5knn,H,P49588,6.1.1.7
5ko2,A,P21447,3.6.3.44
5ko2,B,P21447,3.6.3.44
5ko3,A,K9N7C7,2.7.7.48
5ko3,A,K9N7C7,3.4.19.12
5ko3,A,K9N7C7,3.4.22.69
5ko3,A,K9N7C7,3.6.4.12
5ko3,A,K9N7C7,3.6.4.13
5ko9,A, ,3.4.-.-
5kob,A, ,3.5.1.88
5kob,B, ,3.5.1.88
5kob,C, ,3.5.1.88
5kob,D, ,3.5.1.88
5koc,A,C3SBW0,2.1.1.300
5koc,B,C3SBW0,2.1.1.300
5kod,A, ,6.3.2.-
5kod,B, ,6.3.2.-
5kod,C, ,6.3.2.-
5kod,D, ,6.3.2.-
5koe,A,Q9SWH5,2.4.1.69
5koe,B,Q9SWH5,2.4.1.69
5koe,C,Q9SWH5,2.4.1.69
5koe,D,Q9SWH5,2.4.1.69
5koh,A, ,1.18.6.1
5koh,B, ,1.18.6.1
5koh,C, ,1.18.6.1
5koh,D, ,1.18.6.1
5koi,A, ,1.3.1.9
5koi,B, ,1.3.1.9
5koi,C, ,1.3.1.9
5koi,D, ,1.3.1.9
5koi,E, ,1.3.1.9
5koi,F, ,1.3.1.9
5koi,G, ,1.3.1.9
5koi,H, ,1.3.1.9
5koj,A, ,1.18.6.1
5koj,B, ,1.18.6.1
5koj,C, ,1.18.6.1
5koj,D, ,1.18.6.1
5kok,A,C3SBW0,2.1.1.300
5kok,B,C3SBW0,2.1.1.300
5kop,A,Q9SWH5,2.4.1.69
5kop,B,Q9SWH5,2.4.1.69
5kop,C,Q9SWH5,2.4.1.69
5kop,D,Q9SWH5,2.4.1.69
5koq,A,P00797,3.4.23.15
5koq,B,P00797,3.4.23.15
5kor,A,Q9SWH5,2.4.1.69
5kor,B,Q9SWH5,2.4.1.69
5kor,C,Q9SWH5,2.4.1.69
5kor,D,Q9SWH5,2.4.1.69
5kos,A,P00797,3.4.23.15
5kos,B,P00797,3.4.23.15
5kow,A, ,1.14.13.50
5kox,A, ,1.14.13.50
5koy,A,P21447,3.6.3.44
5koy,B,P21447,3.6.3.44
5kp0,A,P26465,3.6.3.14
5kp1,A,P07445,5.3.3.1
5kp1,B,P07445,5.3.3.1
5kp1,C,P07445,5.3.3.1
5kp1,D,P07445,5.3.3.1
5kp2,A,Q9KLJ3,2.3.1.180
5kp2,B,Q9KLJ3,2.3.1.180
5kp3,A,P07445,5.3.3.1
5kp3,B,P07445,5.3.3.1
5kp4,A,P07445,5.3.3.1
5kp4,B,P07445,5.3.3.1
5kp5,A, ,2.3.3.10
5kp6,A, ,2.3.3.10
5kp7,A, ,2.3.3.10
5kp8,A, ,2.3.3.10
5kpc,A,C3SBW0,2.1.1.300
5kpc,B,C3SBW0,2.1.1.300
5kpd,A,P21447,3.6.3.44
5kpd,B,P21447,3.6.3.44
5kpg,A,C3SBW0,2.1.1.300
5kpg,B,C3SBW0,2.1.1.300
5kpi,A,P21447,3.6.3.44
5kpi,B,P21447,3.6.3.44
5kpj,A,P21447,3.6.3.44
5kpn,A,P09874,2.4.2.30
5kpn,B,P09874,2.4.2.30
5kpo,A,P09874,2.4.2.30
5kpo,B,P09874,2.4.2.30
5kpp,A,P09874,2.4.2.30
5kpp,B,P09874,2.4.2.30
5kpq,A,P09874,2.4.2.30
5kpq,B,P09874,2.4.2.30
5kpr,A,Q9H999,2.7.1.33
5kps,A,P0AG20,2.7.6.5
5kpt,A,Q9H999,2.7.1.33
5kpv,33,P0AG20,2.7.6.5
5kpw,33,P0AG20,2.7.6.5
5kpx,33,P0AG20,2.7.6.5
5kpz,A,Q9H999,2.7.1.33
5kq1,B, ,3.-.-.-
5kq1,E, ,3.-.-.-
5kq4,B, ,3.-.-.-
5kq4,E, ,3.-.-.-
5kq5,A,P54645,2.7.11.1
5kq5,A,P54645,2.7.11.26
5kq5,A,P54645,2.7.11.27
5kq5,A,P54645,2.7.11.31
5kq8,A,Q9H999,2.7.1.33
5kqd,A,Q9H999,2.7.1.33
5kqf,A,P56817,3.4.23.46
5kqg,A,P24666,3.1.3.2
5kqg,A,P24666,3.1.3.48
5kql,A,P24666,3.1.3.2
5kql,A,P24666,3.1.3.48
5kqm,A,P24666,3.1.3.2
5kqm,A,P24666,3.1.3.48
5kqp,A,P24666,3.1.3.2
5kqp,A,P24666,3.1.3.48
5kr7,A, ,1.14.11.-
5kr7,B, ,1.14.11.-
5kr8,A,P56817,3.4.23.46
5kre,A, ,3.1.2.-
5krq,A,Q48MT7,1.6.3.5
5krq,B,Q48MT7,1.6.3.5
5kru,A,P00644,3.1.31.1
5ks2,A,P9WJ63,2.1.1.226
5ks2,A,P9WJ63,2.1.1.227
5ks5,A,O00418,2.7.11.20
5ks7,A,Q9KHT9,3.6.3.32
5ks7,B,Q9KHT9,3.6.3.32
5ksc,A,Q47066,3.5.2.6
5ksd,A,P19456,3.6.3.6
5ksd,B,P19456,3.6.3.6
5ksh,A,P08149,3.4.16.4
5ksh,B,P08149,3.4.16.4
5kso,A, ,3.6.5.-
5ksp,A, ,3.6.5.-
5ksp,B, ,3.6.5.-
5ksw,A,Q9CFW8,1.3.1.14
5ksw,C,Q9CFW8,1.3.1.14
5ksy,A, ,3.6.5.-
5ksz,A, ,3.6.5.-
5kt0,A,Q3MFY8,1.17.1.8
5kt2,A,Q9UNA4,2.7.7.7
5kt3,A,Q9UNA4,2.7.7.7
5kt4,A,Q9UNA4,2.7.7.7
5kt5,A,Q9UNA4,2.7.7.7
5kt6,A,Q9UNA4,2.7.7.7
5kt7,A,Q9UNA4,2.7.7.7
5ktl,A, ,4.3.3.7
5ktl,B, ,4.3.3.7
5ktm,A,O57767,2.5.1.72
5ktn,A,O57767,2.5.1.72
5kto,A,O57767,2.5.1.72
5ktp,A,O57767,2.5.1.72
5ktq,A,P19821,2.7.7.7
5ktr,A,O57767,2.5.1.72
5kts,A,O57767,2.5.1.72
5ktt,A,O57767,2.5.1.72
5ktu,A,Q92793,2.3.1.48
5ktu,B,Q92793,2.3.1.48
5ktw,A,Q92793,2.3.1.48
5ktw,B,Q92793,2.3.1.48
5ktw,C,Q92793,2.3.1.48
5ktx,A,Q92793,2.3.1.48
5kty,A, ,3.6.5.-
5ktz,1,P03300,2.7.7.48
5ktz,1,P03300,3.4.22.28
5ktz,1,P03300,3.4.22.29
5ktz,1,P03300,3.6.1.15
5ktz,2,P03300,2.7.7.48
5ktz,2,P03300,3.4.22.28
5ktz,2,P03300,3.4.22.29
5ktz,2,P03300,3.6.1.15
5ktz,3,P03300,2.7.7.48
5ktz,3,P03300,3.4.22.28
5ktz,3,P03300,3.4.22.29
5ktz,3,P03300,3.6.1.15
5ku0,1,P03300,2.7.7.48
5ku0,1,P03300,3.4.22.28
5ku0,1,P03300,3.4.22.29
5ku0,1,P03300,3.6.1.15
5ku0,2,P03300,2.7.7.48
5ku0,2,P03300,3.4.22.28
5ku0,2,P03300,3.4.22.29
5ku0,2,P03300,3.6.1.15
5ku0,3,P03300,2.7.7.48
5ku0,3,P03300,3.4.22.28
5ku0,3,P03300,3.4.22.29
5ku0,3,P03300,3.6.1.15
5ku1,A, ,3.6.5.-
5ku2,1,P03300,2.7.7.48
5ku2,1,P03300,3.4.22.28
5ku2,1,P03300,3.4.22.29
5ku2,1,P03300,3.6.1.15
5ku2,2,P03300,2.7.7.48
5ku2,2,P03300,3.4.22.28
5ku2,2,P03300,3.4.22.29
5ku2,2,P03300,3.6.1.15
5ku2,3,P03300,2.7.7.48
5ku2,3,P03300,3.4.22.28
5ku2,3,P03300,3.4.22.29
5ku2,3,P03300,3.6.1.15
5ku5,A,P77485,2.7.13.3
5ku5,B,P77485,2.7.13.3
5ku5,C,P77485,2.7.13.3
5ku5,D,P77485,2.7.13.3
5ku9,A, ,3.6.1.11
5ku9,B, ,3.6.1.11
5kub,A, ,3.2.2.-
5kul,A,P62937,5.2.1.8
5kun,A,P62937,5.2.1.8
5kuo,A,P62937,5.2.1.8
5kup,A,Q06187,2.7.10.2
5kuq,A,P62937,5.2.1.8
5kur,A,P62937,5.2.1.8
5kus,A,P62937,5.2.1.8
5kut,A, ,3.6.5.-
5kut,B, ,3.6.5.-
5kut,C, ,3.6.5.-
5kuu,A,P62937,5.2.1.8
5kuv,A,P62937,5.2.1.8
5kuw,A,P62937,5.2.1.8
5kuz,A,P62937,5.2.1.8
5kv0,A,P62937,5.2.1.8
5kv1,A,P62937,5.2.1.8
5kv2,A,P62937,5.2.1.8
5kv3,A,P62937,5.2.1.8
5kv4,A,P62937,5.2.1.8
5kv5,A,P62937,5.2.1.8
5kv6,A,P62937,5.2.1.8
5kv7,A,P62937,5.2.1.8
5kvh,A, ,1.1.1.-
5kvh,B, ,1.1.1.-
5kvi,A, ,1.1.1.-
5kvv,A,P9WK13,1.1.1.37
5kvv,B,P9WK13,1.1.1.37
5kwf,A,P12676,1.1.3.6
5kwf,A,P12676,5.3.3.1
5kwk,A,Q9SWH5,2.4.1.69
5kwk,B,Q9SWH5,2.4.1.69
5kwl,1,P03300,2.7.7.48
5kwl,1,P03300,3.4.22.28
5kwl,1,P03300,3.4.22.29
5kwl,1,P03300,3.6.1.15
5kwl,2,P03300,2.7.7.48
5kwl,2,P03300,3.4.22.28
5kwl,2,P03300,3.4.22.29
5kwl,2,P03300,3.6.1.15
5kwl,3,P03300,2.7.7.48
5kwl,3,P03300,3.4.22.28
5kwl,3,P03300,3.4.22.29
5kwl,3,P03300,3.6.1.15
5kwv,A, ,6.3.2.1
5kwv,B, ,6.3.2.1
5kx6,A,Q9SWH5,2.4.1.69
5kx6,B,Q9SWH5,2.4.1.69
5kx7,A,Q9NWZ3,2.7.11.1
5kx7,B,Q9NWZ3,2.7.11.1
5kx8,A,Q9NWZ3,2.7.11.1
5kx8,B,Q9NWZ3,2.7.11.1
5kx8,C,Q9NWZ3,2.7.11.1
5kx8,D,Q9NWZ3,2.7.11.1
5kxa,A,Q13822,3.1.4.39
5kxj,A,Q8ZMX9,1.4.3.16
5kxk,A,P00698,3.2.1.17
5kxl,A,P00698,3.2.1.17
5kxm,A,P00698,3.2.1.17
5kxn,A,P00698,3.2.1.17
5kxo,A,P00698,3.2.1.17
5kxp,A,P00698,3.2.1.17
5kxr,A,P00698,3.2.1.17
5kxs,A,P00698,3.2.1.17
5kxt,A,P00698,3.2.1.17
5kxw,A,P00698,3.2.1.17
5kxx,A,P00698,3.2.1.17
5kxy,A,P00698,3.2.1.17
5kxz,A,P00698,3.2.1.17
5ky1,A,P00698,3.2.1.17
5kyg,A,P9WJ63,2.1.1.226
5kyg,A,P9WJ63,2.1.1.227
5kyi,A,P00644,3.1.31.1
5kyl,A,P00644,3.1.31.1
5kyt,A,P08659,1.13.12.7
5kyt,B,P08659,1.13.12.7
5kyv,A,P08659,1.13.12.7
5kyv,B,P08659,1.13.12.7
5kz0,A,Q9UM73,2.7.10.1
5kz5,1,Q9Y697,2.8.1.7
5kz5,2,Q9Y697,2.8.1.7
5kz5,3,Q9Y697,2.8.1.7
5kz5,4,Q9Y697,2.8.1.7
5kz5,A,Q16595,1.16.3.1
5kz5,B,Q16595,1.16.3.1
5kz5,C,Q16595,1.16.3.1
5kz5,D,Q16595,1.16.3.1
5kz5,E,Q16595,1.16.3.1
5kz5,F,Q16595,1.16.3.1
5kz5,G,Q16595,1.16.3.1
5kz5,H,Q16595,1.16.3.1
5kz5,I,Q16595,1.16.3.1
5kz5,J,Q16595,1.16.3.1
5kz5,K,Q16595,1.16.3.1
5kz5,L,Q16595,1.16.3.1
5kz5,M,Q9Y697,2.8.1.7
5kz5,N,Q9Y697,2.8.1.7
5kz5,O,Q9Y697,2.8.1.7
5kz5,P,Q9Y697,2.8.1.7
5kz5,Q,Q9Y697,2.8.1.7
5kz5,R,Q9Y697,2.8.1.7
5kz5,S,Q9Y697,2.8.1.7
5kz5,T,Q9Y697,2.8.1.7
5kzd,A,Q2FJU9,4.1.3.3
5kzd,B,Q2FJU9,4.1.3.3
5kzd,C,Q2FJU9,4.1.3.3
5kzd,D,Q2FJU9,4.1.3.3
5kze,A,Q2FJU9,4.1.3.3
5kze,B,Q2FJU9,4.1.3.3
5kze,C,Q2FJU9,4.1.3.3
5kze,D,Q2FJU9,4.1.3.3
5kze,E,Q2FJU9,4.1.3.3
5kze,F,Q2FJU9,4.1.3.3
5kze,G,Q2FJU9,4.1.3.3
5kze,H,Q2FJU9,4.1.3.3
5kzh,A, ,3.5.2.6
5kzh,B, ,3.5.2.6
5kzh,C, ,3.5.2.6
5kzh,D, ,3.5.2.6
5kzi,A,P11309,2.7.11.1
5kzm,A,Q5NE80,4.2.1.20
5kzm,B,Q5NE79,4.2.1.20
5l01,A,P17752,1.14.16.4
5l02,A,Q3JNW6,1.11.1.21
5l02,B,Q3JNW6,1.11.1.21
5l04,A,P23458,2.7.10.2
5l05,A,Q3JNW6,1.11.1.21
5l05,B,Q3JNW6,1.11.1.21
5l08,A,Q14790,3.4.22.61
5l08,B,Q14790,3.4.22.61
5l08,C,Q14790,3.4.22.61
5l08,D,Q14790,3.4.22.61
5l08,E,Q14790,3.4.22.61
5l08,F,Q14790,3.4.22.61
5l08,G,Q14790,3.4.22.61
5l08,H,Q14790,3.4.22.61
5l08,I,Q14790,3.4.22.61
5l0b,A,Q64610,3.1.4.39
5l0b,B,Q64610,3.1.4.39
5l0e,A,Q64610,3.1.4.39
5l0e,B,Q64610,3.1.4.39
5l0k,A,Q64610,3.1.4.39
5l0k,B,Q64610,3.1.4.39
5l0q,A,Q10741,3.4.24.81
5l0q,D,Q10741,3.4.24.81
5l13,A,P05091,1.2.1.3
5l13,B,P05091,1.2.1.3
5l13,C,P05091,1.2.1.3
5l13,D,P05091,1.2.1.3
5l13,E,P05091,1.2.1.3
5l13,F,P05091,1.2.1.3
5l13,G,P05091,1.2.1.3
5l13,H,P05091,1.2.1.3
5l1i,A,Q9Y253,2.7.7.7
5l1j,A,Q9Y253,2.7.7.7
5l1k,A,Q9Y253,2.7.7.7
5l1l,A,Q9Y253,2.7.7.7
5l1o,A,E3VWI3,1.14.19.8
5l1p,A,E3VWI3,1.14.19.8
5l1q,A,E3VWI3,1.14.19.8
5l1r,A,E3VWI3,1.14.19.8
5l1s,A,E3VWI3,1.14.19.8
5l1t,A,E3VWI3,1.14.19.8
5l1u,A,E3VWI3,1.14.19.8
5l1v,A,E3VWI3,1.14.19.8
5l1w,A,E3VWI3,1.14.19.8
5l1z,A,P50750,2.7.11.22
5l1z,A,P50750,2.7.11.23
5l2i,A,Q00534,2.7.11.22
5l2m,A,P00352,1.2.1.36
5l2n,A,P00352,1.2.1.36
5l2o,A,P00352,1.2.1.36
5l2o,B,P00352,1.2.1.36
5l2o,C,P00352,1.2.1.36
5l2o,D,P00352,1.2.1.36
5l2o,E,P00352,1.2.1.36
5l2o,F,P00352,1.2.1.36
5l2o,G,P00352,1.2.1.36
5l2o,H,P00352,1.2.1.36
5l2q,A,Q8N2I9,2.7.11.1
5l2q,B,Q8N2I9,2.7.11.1
